name,dataset,affinity_type,affinity,Activity,InChI Key_QSARr,Original_SMILES,SMILES
22416,modelling,Ki,0.000000072,7.142667504,AHOUBRCZNHFOSL-UHFFFAOYSA-N,FC1C=CC(=CC=1)C1CCNCC1COC1C=C2OCOC2=CC=1,FC1C=CC(=CC=1)C1CCNCC1COC1C=C2OCOC2=CC=1
22869,modelling,Ki,1.40E-09,8.853871964,ZUXABONWMNSFBN-UHFFFAOYSA-N,CN1CCN(CC1)C1NC2=CC(Cl)=CC=C2N=c2ccccc2=1,CN1CCN(CC1)C1NC2=CC(Cl)=CC=C2N=c2ccccc2=1
22985,modelling,Ki,0.00000912,5.040005162,WHTVZRBIWZFKQO-UHFFFAOYSA-N,CC(CCCN(CC)CC)NC1=CC=NC2=CC(Cl)=CC=C21,CC(CCCN(CC)CC)NC1=CC=NC2=CC(Cl)=CC=C21
25870,modelling,Ki,0.000001242,5.905878404,WSEQXVZVJXJVFP-UHFFFAOYSA-N,CN(C)CCCC1(OCC2=CC(=CC=C12)C#N)C1C=CC(F)=CC=1,CN(C)CCCC1(OCC2=CC(=CC=C12)C#N)C1C=CC(F)=CC=1
27210,modelling,Ki,0.000000011,7.958607315,DFTFGLPAHCOAEP-UHFFFAOYSA-N,CC12CCC(CC1=CCC1C2CCC23CN(C)C(C)C2CCC31)N(C)C(=O)C(NC)C(C)C,CC12CCC(CC1=CCC1C2CCC23CN(C)C(C)C2CCC31)N(C)C(=O)C(NC)C(C)C
28347,modelling,Ki,5.60E-09,8.251811973,HOKDBMAJZXIPGC-UHFFFAOYSA-N,C(C1C[NH+]2CCC1CC2)N1C2=CC=CC=C2SC2=CC=CC=C12,C1C(CN2C3=CC=CC=C3SC3=CC=CC=C23)C2CCN1CC2
30130,modelling,Ki,0.000000702,6.153662888,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,CNCCC(OC1C=CC(=CC=1)C(F)(F)F)C1C=CC=CC=1,CNCCC(OC1C=CC(=CC=1)C(F)(F)F)C1C=CC=CC=1
35229,modelling,Ki,0.00000011,6.958607315,HCYAFALTSJYZDH-UHFFFAOYSA-N,CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C12,CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C12
35254,modelling,Ki,2.10E-09,8.677780705,KVWDHTXUZHCGIO-UHFFFAOYSA-N,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2SC(C)=CC=21,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2SC(C)=CC=21
35255,modelling,Ki,0.000000018,7.744727495,HDOZVRUNCMBHFH-UHFFFAOYSA-N,CN(C)CCOC1=CC2=CC=CC=C2SC2=CC=C(Cl)C=C21,CN(C)CCOC1=CC2=CC=CC=C2SC2=CC=C(Cl)C=C21
39342,modelling,Ki,0.00000019,6.721246399,NZUPCNDJBJXXRF-UHFFFAOYSA-O,CC(C[N+](C)(C)C)OC(N)=O,CC(C[N+](C)(C)C)OC(N)=O
48918,modelling,Ki,0.000000023,7.638272164,NZWOPGCLSHLLPA-UHFFFAOYSA-N,CC(C[N+](C)(C)C)OC(C)=O,CC(C[N+](C)(C)C)OC(C)=O
73209,modelling,Ki,1.90E-09,8.721246399,COSSAOQSSXDIQW-UHFFFAOYSA-N,CC1OC(CO1)C[N+](C)(C)C,CC1OC(CO1)C[N+](C)(C)C
78576,modelling,Ki,0.0000026,5.585026652,GFBKORZTTCHDGY-UHFFFAOYSA-N,CN(C)S(=O)(=O)C1C=C2C(=CCCN3CCN(C)CC3)C3=CC=CC=C3SC2=CC=1,CN(C)S(=O)(=O)C1C=C2C(=CCCN3CCN(C)CC3)C3=CC=CC=C3SC2=CC=1
81452,modelling,Ki,0.000000263,6.580044252,MVMQESMQSYOVGV-UHFFFAOYSA-N,CC(C1C2=CC=CC=C2CC=1CCN(C)C)C1=CC=CC=N1,CC(C1C2=CC=CC=C2CC=1CCN(C)C)C1=CC=CC=N1
81484,modelling,Ki,0.0000076,5.119186408,RKLNONIVDFXQRX-UHFFFAOYSA-N,OC1(CCN(CCCC(=O)C2C=CC(F)=CC=2)CC1)C1C=CC(Br)=CC=1,OC1(CCN(CCCC(=O)C2C=CC(F)=CC=2)CC1)C1C=CC(Br)=CC=1
